Row,Model,Wavelength,Reconstruction,Residual
original_glcm_Correlation,0.179582127041036,0.0725432551721496,0.674558591622297,0.073316026164518
original_glcm_DifferenceAverage,0.467046092972234,0.0521251432851015,0.152655515001624,0.32817324874104
original_glcm_DifferenceEntropy,0.475110636333518,0.0966649430833359,0.0781640712965872,0.350060349286559
original_glcm_DifferenceVariance,0.497476967506609,0.133581059707301,0.00153205692364072,0.367409915862449
original_glcm_Id,0.793954830681519,0.0392409917576942,0.0193889014933016,0.147415276067485
original_glcm_Idm,0.810272253948362,0.037535703128126,0.0149428861258389,0.137249156797673
original_glcm_Idmn,0.00882426312272495,0.117831314762742,0.221602365270575,0.651742056843958
original_glcm_Idn,0.498333456802664,0.0487184889332848,0.144744411126423,0.308203643137628
original_glcm_Imc1,0.0998630126262406,0.256601364400524,0.628022380598405,0.0155132423748312
original_glcm_Imc2,0.546631599518293,0.102951484606976,0.313269325191298,0.0371475906834328
original_glcm_InverseVariance,0.715680253045223,0.020049523536952,0.109063816093024,0.155206407324801
original_glcm_JointAverage,0.0239510147471322,0.302408458549747,0.295450147551961,0.37819037915116
original_glcm_JointEnergy,0.74354317993462,0.0341251605636782,0.0914010079016769,0.130930651600025
original_glcm_JointEntropy,0.658935443743455,0.00971210776532016,0.211041429659675,0.120311018831549
original_glcm_MCC,0.663401660372107,0.0637118015313436,0.152214850444434,0.120671687652116
original_glcm_MaximumProbability,0.719643781659803,0.0659373851990466,0.0826628377813944,0.131755995359756
original_glcm_SumAverage,0.02395101474713,0.302408458549745,0.295450147551961,0.378190379151164
original_glcm_SumEntropy,0.605523470389522,0.0125932030834877,0.29360577258103,0.0882775539459604
original_glcm_SumSquares,0.305892811223008,0.0402685208241115,0.449879351403233,0.203959316549647
original_gldm_DependenceEntropy,0.291284788190219,0.0445411337291238,0.616858822001384,0.0473152560792729
original_gldm_DependenceNonUniformity,0.89365655908971,0.03037710704307,0.000312256423466133,0.0756540774437534
original_gldm_DependenceNonUniformityNormalized,0.809909758892308,0.0329892717022483,0.00483939287085665,0.152261576534587
original_gldm_DependenceVariance,0.851446734317937,0.0524290397945968,0.00137373064246843,0.0947504952449976
original_gldm_GrayLevelNonUniformity,0.93198442305682,0.00223850655020359,0.0475154158154278,0.0182616545775481
original_gldm_GrayLevelVariance,0.427773852657789,0.0293318188678493,0.369620932190954,0.173273396283407
original_gldm_HighGrayLevelEmphasis,0.00901862768961755,0.241361138156894,0.328146092452603,0.421474141700886
original_gldm_LargeDependenceEmphasis,0.824574866506841,0.0583038473563413,0.000210924602760263,0.116910361534058
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.390123037079522,0.297668819684486,0.104121336923784,0.208086806312208
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.525071366836673,0.163025447360178,0.149768219993437,0.162134965809712
original_gldm_LowGrayLevelEmphasis,0.617912788214739,0.122331163797829,0.0928975084263268,0.166858539561105
original_gldm_SmallDependenceEmphasis,0.726056685979283,0.0784807500102101,0.00302367962785184,0.192438884382656
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.109774302884113,0.0729245225270963,0.285109211715861,0.53219196287293
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.754184021057877,0.0450003773700244,0.0675042132263138,0.133311388345785
original_glrlm_GrayLevelNonUniformity,0.927664313165718,0.00228453780711656,0.0605942677686536,0.00945688125851174
original_glrlm_GrayLevelNonUniformityNormalized,0.696661542105515,0.00657891648143123,0.212784017777519,0.0839755236355347
original_glrlm_GrayLevelVariance,0.362951158451586,0.0335998291636084,0.418631685752731,0.184817326632074
original_glrlm_HighGrayLevelRunEmphasis,0.00164202252967083,0.247730922318257,0.335880429471595,0.414746625680477
original_glrlm_LongRunEmphasis,0.574472485548714,0.189329965152243,0.00286351368511204,0.233334035613931
original_glrlm_LongRunHighGrayLevelEmphasis,0.0544611414638594,0.344554421708022,0.310529085758506,0.290455351069613
original_glrlm_LongRunLowGrayLevelEmphasis,0.226197931643981,0.188064311006006,0.162287076188727,0.423450681161286
original_glrlm_LowGrayLevelRunEmphasis,0.636073685388886,0.116660595606828,0.0867060978285296,0.160559621175756
original_glrlm_RunEntropy,0.457594290568241,0.0328123162674855,0.448973324207751,0.0606200689565224
original_glrlm_RunLengthNonUniformity,0.980882832823644,0.00682164829056611,0.00052626823897378,0.0117692506468161
original_glrlm_RunLengthNonUniformityNormalized,0.815697504486515,0.0387259629128607,0.0151668823314765,0.130409650269148
original_glrlm_RunPercentage,0.827708402061007,0.0503015141329634,1.84398377080449e-06,0.121988239822259
original_glrlm_RunVariance,0.280808524638101,0.274662428915395,0.000239934617791948,0.444289111828713
original_glrlm_ShortRunEmphasis,0.809520589126688,0.0462632077935876,0.00579563405394432,0.13842056902578
original_glrlm_ShortRunHighGrayLevelEmphasis,0.00694070228579921,0.228636249992027,0.343236215416966,0.421186832305208
original_glrlm_ShortRunLowGrayLevelEmphasis,0.676517868807172,0.0996472977464342,0.0722298028345296,0.151605030611864
original_glszm_GrayLevelNonUniformity,0.749653208743635,0.0743563520601605,0.148507428187671,0.0274830110085338
original_glszm_GrayLevelNonUniformityNormalized,0.147780676747204,0.0635929769765962,0.679556650736416,0.109069695539784
original_glszm_GrayLevelVariance,0.0780468913599274,0.0543464681022215,0.711440036280615,0.156166604257236
original_glszm_HighGrayLevelZoneEmphasis,0.182610746474398,0.22807483421849,0.32719962622747,0.262114793079642
original_glszm_LargeAreaEmphasis,0.826750070114061,0.0470353677152937,0.0379824451930389,0.088232116977606
original_glszm_LargeAreaHighGrayLevelEmphasis,0.757375762289905,0.104117814933071,0.0235321559385526,0.114974266838471
original_glszm_LargeAreaLowGrayLevelEmphasis,0.79837136422711,0.0284987336460858,0.107494134062864,0.0656357680639399
original_glszm_LowGrayLevelZoneEmphasis,0.742635724786624,0.0577190148879632,0.0718286726579862,0.127816587667427
original_glszm_SizeZoneNonUniformity,0.567964483345315,0.15416502976751,0.111312695941174,0.166557790946002
original_glszm_SizeZoneNonUniformityNormalized,0.0613392581355594,0.125603670151806,0.731654307406285,0.0814027643063499
original_glszm_SmallAreaEmphasis,0.060946419863711,0.126636342457005,0.732635171895005,0.0797820657842792
original_glszm_SmallAreaHighGrayLevelEmphasis,0.206049153525751,0.211928177179967,0.280873233727732,0.301149435566549
original_glszm_SmallAreaLowGrayLevelEmphasis,0.591721247760236,0.0637433142467012,0.173181436378932,0.171354001614131
original_glszm_ZoneEntropy,6.91686406476111e-05,0.100804756412148,0.826260472586048,0.0728656023611564
original_glszm_ZonePercentage,0.675707437305492,0.081317264170722,0.00281244691342796,0.240162851610358
original_glszm_ZoneVariance,0.826794141291576,0.0469349527829561,0.0382499153757071,0.0880209905497603
original_ngtdm_Busyness,0.497673827517851,0.122273947803854,0.339144644067745,0.0409075806105501
original_ngtdm_Coarseness,0.85800378899938,0.0124721777257713,0.1141677682589,0.0153562650159487
original_ngtdm_Complexity,0.000232972148043999,0.429588373741007,0.242119390131886,0.328059263979063
original_ngtdm_Contrast,0.620934326931517,0.0166946905408936,0.206769009720459,0.15560197280713
original_ngtdm_Strength,0.0757432984609455,0.0943413433921976,0.00912871895768916,0.820786639189168
