Row,Model,GLbins,Wavelength,Residual
original_glrlm_HighGrayLevelRunEmphasis,0.00251089890231031,0.982975540185399,0.00165628539895164,0.0128572755133393
original_glrlm_LongRunEmphasis,0.000363901629753766,0.956097117450151,0.000400631262173223,0.0431383496579224
original_glrlm_LongRunHighGrayLevelEmphasis,0.00929989893342932,0.971364719025215,0.00510835207900909,0.0142270299623465
original_glrlm_LongRunLowGrayLevelEmphasis,0.00221344460920774,0.947303218647805,0.00186753863150361,0.0486157981114841
original_glrlm_LowGrayLevelRunEmphasis,0.00893727966111849,0.965897223743779,0.00170397987410292,0.0234615167209993
original_glrlm_RunEntropy,0.00729871010534895,0.985359128036299,0.00169962443242301,0.00564253742592913
original_glrlm_RunLengthNonUniformity,0.0313658045847905,0.946240890704999,0.000209033762982329,0.0221842709472283
original_glrlm_RunLengthNonUniformityNormalized,0.00349232891438881,0.994726111372926,0.000176420744821626,0.00160513896786352
original_glrlm_RunPercentage,0.00339419392654418,0.994070736183077,0.000225004421303164,0.00231006546907531
original_glrlm_RunVariance,0.000115801109589534,0.947293496808335,0.000535396868470232,0.0520553052136052
original_glrlm_ShortRunEmphasis,0.00377391867990628,0.994805471239065,0.00016833139972132,0.00125227868130717
original_glrlm_ShortRunHighGrayLevelEmphasis,0.00207932723434063,0.984112442063442,0.00150015489468131,0.012308075807536
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0167941803227775,0.949864620322739,0.00179547866407776,0.0315457206904058
original_glszm_GrayLevelNonUniformity,0.0171008631595173,0.957372549724129,0.00169783383217425,0.0238287532841798
original_glszm_GrayLevelNonUniformityNormalized,0.00982976142475583,0.949712022545066,0.0018753648758262,0.0385828511543516
original_glszm_GrayLevelVariance,0.00037114478702773,0.995049775961755,0.000303438225114767,0.00427564102610278
original_glszm_HighGrayLevelZoneEmphasis,0.00480886337816157,0.977181048621853,0.00137743297531872,0.0166326550246669
original_glszm_LargeAreaEmphasis,0.0538357589654366,0.796671379306361,0.000662194032323538,0.148830667695879
original_glszm_LargeAreaHighGrayLevelEmphasis,0.198319194685299,0.608420158887874,0.0156617929872338,0.177598853439593
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0272441233214549,0.857135750565745,0.000807915912515195,0.114812210200285
original_glszm_LowGrayLevelZoneEmphasis,0.00139291219228289,0.988645087369626,0.00145006593764776,0.00851193450044363
original_glszm_SizeZoneNonUniformity,0.00286960707939134,0.985312743042642,0.000392679719894458,0.0114249701580724
original_glszm_SizeZoneNonUniformityNormalized,0.0516342603113078,0.924170723610411,0.000557963546262406,0.0236370525320186
original_glszm_SmallAreaEmphasis,0.0696346394206655,0.889593866567455,0.000838617003408947,0.0399328770084703
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0036836856253027,0.980156768531763,0.000985634824525652,0.0151739110184087
original_glszm_SmallAreaLowGrayLevelEmphasis,0.011132168284088,0.958385843416191,0.00175980752686883,0.0287221807728517
original_glszm_ZoneEntropy,0.00412025623653068,0.99051314442235,5.83285825899957e-05,0.00530827075852902
original_glszm_ZonePercentage,0.00313308415091896,0.989230024869723,0.000312497620279314,0.00732439335907831
original_glszm_ZoneVariance,0.053913573323829,0.796623124512063,0.000656234709017967,0.14880706745509
original_ngtdm_Busyness,0.0072894938025228,0.963490977899864,0.00108602221144291,0.0281335060861698
original_ngtdm_Coarseness,0.738244623436218,0.204949013685597,0.0105338015806834,0.0462725612975016
original_ngtdm_Complexity,7.91658270096517e-08,0.996547438075162,0.000339344078902468,0.00311313868010898
original_ngtdm_Contrast,0.0264657218064956,0.921162208195703,0.000914088801769195,0.051457981196032
original_ngtdm_Strength,7.38100556053859e-06,0.997561077773992,0.000124476347968501,0.00230706487247889
