Row,Model,GLbins,Wavelength,Residual
original_glrlm_LongRunLowGrayLevelEmphasis,0.0002439888057933,0.992942792118319,0.000878427417924311,0.00593479165796329
original_glrlm_LowGrayLevelRunEmphasis,0.000984981527826889,0.991489893319201,0.0015404919443661,0.00598463320860643
original_glrlm_RunEntropy,0.014734873710519,0.979395722465618,0.00167865689293163,0.00419074693093091
original_glrlm_RunLengthNonUniformity,0.0289848721973582,0.947347645132911,0.000241309963130906,0.0234261727066
original_glrlm_RunLengthNonUniformityNormalized,0.0034477929754846,0.995480768411714,0.000148313613791589,0.00092312499901015
original_glrlm_RunPercentage,0.0040255354969202,0.994762863062126,0.000129976687982554,0.00108162475297102
original_glrlm_RunVariance,0.0022201308257311,0.991907531283718,0.000381555016656655,0.0054907828738946
original_glrlm_ShortRunEmphasis,0.00253476435008888,0.99682421536603,0.000200827086899863,0.000440193196981076
original_glrlm_ShortRunHighGrayLevelEmphasis,0.00281532293126963,0.977643093317988,0.00231515079285077,0.0172264329578913
original_glrlm_ShortRunLowGrayLevelEmphasis,0.00299792323734868,0.985169182030599,0.00251937335024869,0.00931352138180386
original_glszm_GrayLevelNonUniformity,0.0176017601664644,0.951479052094454,0.00298154681569133,0.0279376409233899
original_glszm_GrayLevelNonUniformityNormalized,0.00355622483169162,0.983536180918648,6.91142986065989e-05,0.0128384799510539
original_glszm_GrayLevelVariance,0.000498521225653933,0.992409759271403,0.000312091163333192,0.00677962833960966
original_glszm_HighGrayLevelZoneEmphasis,0.0002600731171242,0.989704280416922,0.00201583212104726,0.00801981434490617
original_glszm_LargeAreaEmphasis,0.0468001441443613,0.824622443126628,0.0013659073182025,0.127211505410808
original_glszm_LargeAreaHighGrayLevelEmphasis,0.1238527012025,0.736148994502824,0.0211972107611397,0.118801093533536
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0306303754922219,0.843513661246278,0.000300735525923978,0.125555227735576
original_glszm_LowGrayLevelZoneEmphasis,0.00123506602509944,0.977574974036476,0.00340435862672984,0.0177856013116945
original_glszm_SizeZoneNonUniformity,0.00275034327462339,0.987445019250226,0.000538419005711471,0.00926621846943898
original_glszm_SizeZoneNonUniformityNormalized,0.00272779032982153,0.992783351588998,0.00189831394896749,0.00259054413221327
original_glszm_SmallAreaEmphasis,0.00390021932305916,0.989114227270559,0.00229299523841684,0.0046925581679651
original_glszm_SmallAreaHighGrayLevelEmphasis,0.000219556727423362,0.992071045538347,0.00130582366038943,0.00640357407384018
original_glszm_SmallAreaLowGrayLevelEmphasis,0.000728404734036006,0.964768776328501,0.00628499572962407,0.0282178232078388
original_glszm_ZoneEntropy,4.53285100433775e-05,0.994452896603037,0.00034675247729909,0.00515502240962051
original_glszm_ZonePercentage,0.00292337578708921,0.99130603051275,0.000278656837786704,0.00549193686237415
original_glszm_ZoneVariance,0.047004818951759,0.824283920726521,0.00133026464100622,0.127380995680714
original_ngtdm_Busyness,0.0094665547728613,0.966739943718945,0.000567963077835414,0.0232255384303582
original_ngtdm_Coarseness,0.657168060459176,0.296682620362981,0.00680920985331964,0.0393401093245234
original_ngtdm_Complexity,8.30353176527673e-05,0.997797611946703,0.000314758421935671,0.00180459431370872
original_ngtdm_Contrast,0.0526059569705208,0.87849852641275,0.00112035962471738,0.0677751569920119
original_ngtdm_Strength,0.00231101064413911,0.988713394919859,3.77697481576509e-05,0.00893782468784476
